UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 05:04 ?        00:00:00 /usr/local/bin/tini -- sleep infinity
root          23       1  0 05:04 ?        00:00:00 sshd: /usr/sbin/sshd [listener] 2 of 10-100 startups
root          24       1  0 05:04 ?        00:00:00 /usr/bin/python3 /usr/bin/supervisord -c /etc/supervisor/supervisord.conf
root          28       1  0 05:04 ?        00:00:00 sleep infinity
root          29      24  0 05:04 ?        00:00:00 /bin/bash -c /model/other/filebrowser/filebrowser -d /filebrowser/filebrowser.db users rm admin 2>/dev/null || true && /model/other/filebrowser/filebrowser -d /filebrowser/filebrowser.db users add admin ${JUPYTER_TOKEN} <REDACTED> --locale=zh-cn 2>/dev/null || true && /model/other/filebrowser/filebrowser -c /filebrowser/config.json  > /filebrowser/service.log 2>&1
root          30      24  0 05:04 ?        00:00:00 /bin/bash -c /usr/local/miniconda3/bin/jupyter-lab --ip=0.0.0.0 --port=8888 --no-browser --allow-root --ServerApp.token=<REDACTED> --notebook-dir=/ --ServerApp.terminado_settings='{"shell_command": ["/bin/bash","-l"]}' > /usr/local/jupyterlab.log 2>&1
root          32      30  0 05:04 ?        00:00:01 /usr/local/miniconda3/bin/python3.12 /usr/local/miniconda3/bin/jupyter-lab --ip=0.0.0.0 --port=8888 --no-browser --allow-root --ServerApp.token=<REDACTED> --notebook-dir=/ --ServerApp.terminado_settings={"shell_command": ["/bin/bash","-l"]}
root          50      23  0 05:05 ?        00:00:07 sshd: root@notty
root          73      50  0 05:05 ?        00:00:00 -bash
root          77      29  0 05:05 ?        00:00:00 /model/other/filebrowser/filebrowser -c /filebrowser/config.json
root          85      73  0 05:05 ?        00:00:00 sh
root         103      85  0 05:05 ?        00:00:19 /root/.vscode-server/code-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e command-shell --cli-data-dir /root/.vscode-server/cli --parent-process-id 85 --on-host=127.0.0.1 --on-port
root         136     103  0 05:05 ?        00:00:00 /root/.vscode-server/code-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e --cli-data-dir /root/.vscode-server/cli agent host
root         161     103  0 05:05 ?        00:00:00 sh /root/.vscode-server/cli/servers/Stable-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e/server/bin/code-server --connection-token=<REDACTED> --accept-server-license-terms --agent-host-bridge-port=39699 --agent-host-bridge-host=127.0.0.1 --agent-host-bridge-connection-token=<REDACTED> --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-14704631-e927-4be2-8f17-457b4a594468
root         165     161  1 05:05 ?        00:00:27 /root/.vscode-server/cli/servers/Stable-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e/server/node /root/.vscode-server/cli/servers/Stable-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e/server/out/server-main.js --connection-token=<REDACTED> --accept-server-license-terms --agent-host-bridge-port=39699 --agent-host-bridge-host=127.0.0.1 --agent-host-bridge-connection-token=<REDACTED> --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-14704631-e927-4be2-8f17-457b4a594468
root         191     165  0 05:05 ?        00:00:01 /root/.vscode-server/cli/servers/Stable-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e/server/node /root/.vscode-server/cli/servers/Stable-8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e/server/out/bootstrap-fork --type=fileWatcher
root         243       1  0 05:05 ?        00:00:04 /root/xray/xray run -c /root/xray/config.json
