[started_at] 2026-05-07T15:42:27.547856+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/cej_improve_20260507_001/experiments/exp00_audit_baseline/config/train.yaml
[2026-05-07 15:42:32,993] INFO - inferred case=ToothFairy3F_041 tooth=11
[2026-05-07 15:42:33,194] INFO - inferred case=ToothFairy3F_041 tooth=12
[2026-05-07 15:42:33,440] INFO - inferred case=ToothFairy3F_041 tooth=13
[2026-05-07 15:42:33,672] INFO - inferred case=ToothFairy3F_041 tooth=14
[2026-05-07 15:42:33,891] INFO - inferred case=ToothFairy3F_041 tooth=15
[2026-05-07 15:42:34,188] INFO - inferred case=ToothFairy3F_041 tooth=16
[2026-05-07 15:42:34,469] INFO - inferred case=ToothFairy3F_041 tooth=17
[2026-05-07 15:42:34,634] INFO - inferred case=ToothFairy3F_041 tooth=21
[2026-05-07 15:42:34,811] INFO - inferred case=ToothFairy3F_041 tooth=22
[2026-05-07 15:42:34,986] INFO - inferred case=ToothFairy3F_041 tooth=23
[2026-05-07 15:42:35,187] INFO - inferred case=ToothFairy3F_041 tooth=24
[2026-05-07 15:42:35,411] INFO - inferred case=ToothFairy3F_041 tooth=25
[2026-05-07 15:42:35,752] INFO - inferred case=ToothFairy3F_041 tooth=26
[2026-05-07 15:42:35,996] INFO - inferred case=ToothFairy3F_041 tooth=27
[2026-05-07 15:42:36,186] INFO - inferred case=ToothFairy3F_041 tooth=28
[2026-05-07 15:42:36,420] INFO - inferred case=ToothFairy3F_041 tooth=31
[2026-05-07 15:42:36,659] INFO - inferred case=ToothFairy3F_041 tooth=32
[2026-05-07 15:42:36,946] INFO - inferred case=ToothFairy3F_041 tooth=33
[2026-05-07 15:42:37,196] INFO - inferred case=ToothFairy3F_041 tooth=34
[2026-05-07 15:42:37,437] INFO - inferred case=ToothFairy3F_041 tooth=35
[2026-05-07 15:42:37,777] INFO - inferred case=ToothFairy3F_041 tooth=36
[2026-05-07 15:42:38,081] INFO - inferred case=ToothFairy3F_041 tooth=37
[2026-05-07 15:42:38,331] INFO - inferred case=ToothFairy3F_041 tooth=38
[2026-05-07 15:42:38,581] INFO - inferred case=ToothFairy3F_041 tooth=41
[2026-05-07 15:42:38,793] INFO - inferred case=ToothFairy3F_041 tooth=42
[2026-05-07 15:42:39,054] INFO - inferred case=ToothFairy3F_041 tooth=43
[2026-05-07 15:42:39,283] INFO - inferred case=ToothFairy3F_041 tooth=44
[2026-05-07 15:42:39,522] INFO - inferred case=ToothFairy3F_041 tooth=45
[2026-05-07 15:42:39,839] INFO - inferred case=ToothFairy3F_041 tooth=46
[2026-05-07 15:42:40,136] INFO - inferred case=ToothFairy3F_041 tooth=47
[2026-05-07 15:42:40,355] INFO - inferred case=ToothFairy3F_044 tooth=11
[2026-05-07 15:42:40,531] INFO - inferred case=ToothFairy3F_044 tooth=12
[2026-05-07 15:42:40,714] INFO - inferred case=ToothFairy3F_044 tooth=13
[2026-05-07 15:42:40,936] INFO - inferred case=ToothFairy3F_044 tooth=14
[2026-05-07 15:42:41,119] INFO - inferred case=ToothFairy3F_044 tooth=15
[2026-05-07 15:42:41,366] INFO - inferred case=ToothFairy3F_044 tooth=16
[2026-05-07 15:42:41,526] INFO - inferred case=ToothFairy3F_044 tooth=21
[2026-05-07 15:42:41,709] INFO - inferred case=ToothFairy3F_044 tooth=22
[2026-05-07 15:42:41,880] INFO - inferred case=ToothFairy3F_044 tooth=23
[2026-05-07 15:42:42,051] INFO - inferred case=ToothFairy3F_044 tooth=24
[2026-05-07 15:42:42,186] INFO - inferred case=ToothFairy3F_044 tooth=25
[2026-05-07 15:42:42,444] INFO - inferred case=ToothFairy3F_044 tooth=26
[2026-05-07 15:42:42,675] INFO - inferred case=ToothFairy3F_044 tooth=27
[2026-05-07 15:42:42,824] INFO - inferred case=ToothFairy3F_044 tooth=28
[2026-05-07 15:42:43,015] INFO - inferred case=ToothFairy3F_044 tooth=31
[2026-05-07 15:42:43,238] INFO - inferred case=ToothFairy3F_044 tooth=32
[2026-05-07 15:42:43,493] INFO - inferred case=ToothFairy3F_044 tooth=33
[2026-05-07 15:42:43,727] INFO - inferred case=ToothFairy3F_044 tooth=34
[2026-05-07 15:42:43,978] INFO - inferred case=ToothFairy3F_044 tooth=35
[2026-05-07 15:42:44,284] INFO - inferred case=ToothFairy3F_044 tooth=36
[2026-05-07 15:42:44,494] INFO - inferred case=ToothFairy3F_044 tooth=41
[2026-05-07 15:42:44,705] INFO - inferred case=ToothFairy3F_044 tooth=42
[2026-05-07 15:42:44,981] INFO - inferred case=ToothFairy3F_044 tooth=43
[2026-05-07 15:42:45,218] INFO - inferred case=ToothFairy3F_044 tooth=44
[2026-05-07 15:42:45,456] INFO - inferred case=ToothFairy3F_044 tooth=45
[2026-05-07 15:42:45,781] INFO - inferred case=ToothFairy3F_044 tooth=46
[2026-05-07 15:42:46,137] INFO - inferred case=ToothFairy3F_044 tooth=47
[2026-05-07 15:42:46,456] INFO - inferred case=ToothFairy3F_044 tooth=48
[2026-05-07 15:42:46,613] INFO - inferred case=ToothFairy3F_050 tooth=11
[2026-05-07 15:42:46,789] INFO - inferred case=ToothFairy3F_050 tooth=12
[2026-05-07 15:42:47,011] INFO - inferred case=ToothFairy3F_050 tooth=13
[2026-05-07 15:42:47,243] INFO - inferred case=ToothFairy3F_050 tooth=14
[2026-05-07 15:42:47,441] INFO - inferred case=ToothFairy3F_050 tooth=15
[2026-05-07 15:42:47,710] INFO - inferred case=ToothFairy3F_050 tooth=16
[2026-05-07 15:42:48,016] INFO - inferred case=ToothFairy3F_050 tooth=17
[2026-05-07 15:42:48,200] INFO - inferred case=ToothFairy3F_050 tooth=18
[2026-05-07 15:42:48,376] INFO - inferred case=ToothFairy3F_050 tooth=21
[2026-05-07 15:42:48,530] INFO - inferred case=ToothFairy3F_050 tooth=22
[2026-05-07 15:42:48,719] INFO - inferred case=ToothFairy3F_050 tooth=23
[2026-05-07 15:42:48,947] INFO - inferred case=ToothFairy3F_050 tooth=24
[2026-05-07 15:42:49,162] INFO - inferred case=ToothFairy3F_050 tooth=25
[2026-05-07 15:42:49,451] INFO - inferred case=ToothFairy3F_050 tooth=26
[2026-05-07 15:42:49,733] INFO - inferred case=ToothFairy3F_050 tooth=27
[2026-05-07 15:42:49,992] INFO - inferred case=ToothFairy3F_050 tooth=28
[2026-05-07 15:42:50,249] INFO - inferred case=ToothFairy3F_050 tooth=31
[2026-05-07 15:42:50,495] INFO - inferred case=ToothFairy3F_050 tooth=32
[2026-05-07 15:42:50,771] INFO - inferred case=ToothFairy3F_050 tooth=33
[2026-05-07 15:42:51,047] INFO - inferred case=ToothFairy3F_050 tooth=34
[2026-05-07 15:42:51,340] INFO - inferred case=ToothFairy3F_050 tooth=35
[2026-05-07 15:42:51,706] INFO - inferred case=ToothFairy3F_050 tooth=36
[2026-05-07 15:42:52,079] INFO - inferred case=ToothFairy3F_050 tooth=37
[2026-05-07 15:42:52,399] INFO - inferred case=ToothFairy3F_050 tooth=38
[2026-05-07 15:42:52,601] INFO - inferred case=ToothFairy3F_050 tooth=41
[2026-05-07 15:42:52,823] INFO - inferred case=ToothFairy3F_050 tooth=42
[2026-05-07 15:42:53,131] INFO - inferred case=ToothFairy3F_050 tooth=43
[2026-05-07 15:42:53,385] INFO - inferred case=ToothFairy3F_050 tooth=44
[2026-05-07 15:42:53,652] INFO - inferred case=ToothFairy3F_050 tooth=45
[2026-05-07 15:42:53,969] INFO - inferred case=ToothFairy3F_050 tooth=46
[2026-05-07 15:42:54,326] INFO - inferred case=ToothFairy3F_050 tooth=47
[2026-05-07 15:42:54,579] INFO - inferred case=ToothFairy3F_050 tooth=48
[2026-05-07 15:42:54,786] INFO - inferred case=ToothFairy3F_051 tooth=11
[2026-05-07 15:42:54,999] INFO - inferred case=ToothFairy3F_051 tooth=12
[2026-05-07 15:42:55,217] INFO - inferred case=ToothFairy3F_051 tooth=13
[2026-05-07 15:42:55,427] INFO - inferred case=ToothFairy3F_051 tooth=14
[2026-05-07 15:42:55,637] INFO - inferred case=ToothFairy3F_051 tooth=15
[2026-05-07 15:42:55,904] INFO - inferred case=ToothFairy3F_051 tooth=16
[2026-05-07 15:42:56,166] INFO - inferred case=ToothFairy3F_051 tooth=17
[2026-05-07 15:42:56,346] INFO - inferred case=ToothFairy3F_051 tooth=18
[2026-05-07 15:42:56,554] INFO - inferred case=ToothFairy3F_051 tooth=21
[2026-05-07 15:42:56,763] INFO - inferred case=ToothFairy3F_051 tooth=22
[2026-05-07 15:42:56,995] INFO - inferred case=ToothFairy3F_051 tooth=23
[2026-05-07 15:42:57,205] INFO - inferred case=ToothFairy3F_051 tooth=24
[2026-05-07 15:42:57,409] INFO - inferred case=ToothFairy3F_051 tooth=25
[2026-05-07 15:42:57,675] INFO - inferred case=ToothFairy3F_051 tooth=26
[2026-05-07 15:42:57,918] INFO - inferred case=ToothFairy3F_051 tooth=27
[2026-05-07 15:42:58,089] INFO - inferred case=ToothFairy3F_051 tooth=28
[2026-05-07 15:42:58,290] INFO - inferred case=ToothFairy3F_051 tooth=31
[2026-05-07 15:42:58,546] INFO - inferred case=ToothFairy3F_051 tooth=32
[2026-05-07 15:42:58,864] INFO - inferred case=ToothFairy3F_051 tooth=33
[2026-05-07 15:42:59,106] INFO - inferred case=ToothFairy3F_051 tooth=34
[2026-05-07 15:42:59,343] INFO - inferred case=ToothFairy3F_051 tooth=35
[2026-05-07 15:42:59,659] INFO - inferred case=ToothFairy3F_051 tooth=36
[2026-05-07 15:42:59,940] INFO - inferred case=ToothFairy3F_051 tooth=37
[2026-05-07 15:43:00,207] INFO - inferred case=ToothFairy3F_051 tooth=38
[2026-05-07 15:43:00,431] INFO - inferred case=ToothFairy3F_051 tooth=41
[2026-05-07 15:43:00,645] INFO - inferred case=ToothFairy3F_051 tooth=42
[2026-05-07 15:43:00,937] INFO - inferred case=ToothFairy3F_051 tooth=43
[2026-05-07 15:43:01,205] INFO - inferred case=ToothFairy3F_051 tooth=44
[2026-05-07 15:43:01,416] INFO - inferred case=ToothFairy3F_051 tooth=45
[2026-05-07 15:43:01,772] INFO - inferred case=ToothFairy3F_051 tooth=46
[2026-05-07 15:43:02,047] INFO - inferred case=ToothFairy3F_051 tooth=47
[2026-05-07 15:43:02,373] INFO - inferred case=ToothFairy3F_051 tooth=48
[2026-05-07 15:43:02,590] INFO - inferred case=ToothFairy3F_052 tooth=11
[2026-05-07 15:43:02,767] INFO - inferred case=ToothFairy3F_052 tooth=12
[2026-05-07 15:43:02,994] INFO - inferred case=ToothFairy3F_052 tooth=13
[2026-05-07 15:43:03,196] INFO - inferred case=ToothFairy3F_052 tooth=14
[2026-05-07 15:43:03,404] INFO - inferred case=ToothFairy3F_052 tooth=15
[2026-05-07 15:43:03,670] INFO - inferred case=ToothFairy3F_052 tooth=16
[2026-05-07 15:43:03,981] INFO - inferred case=ToothFairy3F_052 tooth=17
[2026-05-07 15:43:04,219] INFO - inferred case=ToothFairy3F_052 tooth=18
[2026-05-07 15:43:04,421] INFO - inferred case=ToothFairy3F_052 tooth=21
[2026-05-07 15:43:04,632] INFO - inferred case=ToothFairy3F_052 tooth=22
[2026-05-07 15:43:04,849] INFO - inferred case=ToothFairy3F_052 tooth=23
[2026-05-07 15:43:05,078] INFO - inferred case=ToothFairy3F_052 tooth=24
[2026-05-07 15:43:05,293] INFO - inferred case=ToothFairy3F_052 tooth=25
[2026-05-07 15:43:05,556] INFO - inferred case=ToothFairy3F_052 tooth=26
[2026-05-07 15:43:05,826] INFO - inferred case=ToothFairy3F_052 tooth=27
[2026-05-07 15:43:06,034] INFO - inferred case=ToothFairy3F_052 tooth=31
[2026-05-07 15:43:06,269] INFO - inferred case=ToothFairy3F_052 tooth=32
[2026-05-07 15:43:06,521] INFO - inferred case=ToothFairy3F_052 tooth=33
[2026-05-07 15:43:06,767] INFO - inferred case=ToothFairy3F_052 tooth=34
[2026-05-07 15:43:07,031] INFO - inferred case=ToothFairy3F_052 tooth=35
[2026-05-07 15:43:07,337] INFO - inferred case=ToothFairy3F_052 tooth=36
[2026-05-07 15:43:07,640] INFO - inferred case=ToothFairy3F_052 tooth=37
[2026-05-07 15:43:07,935] INFO - inferred case=ToothFairy3F_052 tooth=38
[2026-05-07 15:43:08,148] INFO - inferred case=ToothFairy3F_052 tooth=41
[2026-05-07 15:43:08,386] INFO - inferred case=ToothFairy3F_052 tooth=42
[2026-05-07 15:43:08,611] INFO - inferred case=ToothFairy3F_052 tooth=43
[2026-05-07 15:43:08,824] INFO - inferred case=ToothFairy3F_052 tooth=44
[2026-05-07 15:43:09,064] INFO - inferred case=ToothFairy3F_052 tooth=45
[2026-05-07 15:43:09,409] INFO - inferred case=ToothFairy3F_052 tooth=46
[2026-05-07 15:43:09,701] INFO - inferred case=ToothFairy3F_052 tooth=47
[2026-05-07 15:43:09,875] INFO - inferred case=ToothFairy3F_053 tooth=11
[2026-05-07 15:43:10,064] INFO - inferred case=ToothFairy3F_053 tooth=12
[2026-05-07 15:43:10,330] INFO - inferred case=ToothFairy3F_053 tooth=13
[2026-05-07 15:43:10,575] INFO - inferred case=ToothFairy3F_053 tooth=14
[2026-05-07 15:43:10,777] INFO - inferred case=ToothFairy3F_053 tooth=15
[2026-05-07 15:43:11,069] INFO - inferred case=ToothFairy3F_053 tooth=16
[2026-05-07 15:43:11,307] INFO - inferred case=ToothFairy3F_053 tooth=17
[2026-05-07 15:43:11,497] INFO - inferred case=ToothFairy3F_053 tooth=21
[2026-05-07 15:43:11,701] INFO - inferred case=ToothFairy3F_053 tooth=22
[2026-05-07 15:43:11,897] INFO - inferred case=ToothFairy3F_053 tooth=23
[2026-05-07 15:43:12,088] INFO - inferred case=ToothFairy3F_053 tooth=24
[2026-05-07 15:43:12,275] INFO - inferred case=ToothFairy3F_053 tooth=25
[2026-05-07 15:43:12,559] INFO - inferred case=ToothFairy3F_053 tooth=26
[2026-05-07 15:43:12,791] INFO - inferred case=ToothFairy3F_053 tooth=27
[2026-05-07 15:43:12,966] INFO - inferred case=ToothFairy3F_053 tooth=31
[2026-05-07 15:43:13,176] INFO - inferred case=ToothFairy3F_053 tooth=32
[2026-05-07 15:43:13,429] INFO - inferred case=ToothFairy3F_053 tooth=33
[2026-05-07 15:43:13,664] INFO - inferred case=ToothFairy3F_053 tooth=34
[2026-05-07 15:43:13,921] INFO - inferred case=ToothFairy3F_053 tooth=35
[2026-05-07 15:43:14,261] INFO - inferred case=ToothFairy3F_053 tooth=36
[2026-05-07 15:43:14,544] INFO - inferred case=ToothFairy3F_053 tooth=37
[2026-05-07 15:43:14,824] INFO - inferred case=ToothFairy3F_053 tooth=38
[2026-05-07 15:43:15,013] INFO - inferred case=ToothFairy3F_053 tooth=41
[2026-05-07 15:43:15,241] INFO - inferred case=ToothFairy3F_053 tooth=42
[2026-05-07 15:43:15,479] INFO - inferred case=ToothFairy3F_053 tooth=43
[2026-05-07 15:43:15,735] INFO - inferred case=ToothFairy3F_053 tooth=44
[2026-05-07 15:43:15,958] INFO - inferred case=ToothFairy3F_053 tooth=45
[2026-05-07 15:43:16,289] INFO - inferred case=ToothFairy3F_053 tooth=46
[2026-05-07 15:43:16,586] INFO - inferred case=ToothFairy3F_053 tooth=47
[2026-05-07 15:43:16,849] INFO - inferred case=ToothFairy3F_053 tooth=48
[2026-05-07 15:43:17,047] INFO - inferred case=ToothFairy3F_054 tooth=11
[2026-05-07 15:43:17,251] INFO - inferred case=ToothFairy3F_054 tooth=12
[2026-05-07 15:43:17,452] INFO - inferred case=ToothFairy3F_054 tooth=13
[2026-05-07 15:43:17,637] INFO - inferred case=ToothFairy3F_054 tooth=14
[2026-05-07 15:43:17,820] INFO - inferred case=ToothFairy3F_054 tooth=15
[2026-05-07 15:43:18,097] INFO - inferred case=ToothFairy3F_054 tooth=16
[2026-05-07 15:43:18,346] INFO - inferred case=ToothFairy3F_054 tooth=17
[2026-05-07 15:43:18,560] INFO - inferred case=ToothFairy3F_054 tooth=21
[2026-05-07 15:43:18,762] INFO - inferred case=ToothFairy3F_054 tooth=22
[2026-05-07 15:43:18,948] INFO - inferred case=ToothFairy3F_054 tooth=23
[2026-05-07 15:43:19,151] INFO - inferred case=ToothFairy3F_054 tooth=24
[2026-05-07 15:43:19,342] INFO - inferred case=ToothFairy3F_054 tooth=25
[2026-05-07 15:43:19,612] INFO - inferred case=ToothFairy3F_054 tooth=26
[2026-05-07 15:43:19,867] INFO - inferred case=ToothFairy3F_054 tooth=27
[2026-05-07 15:43:20,104] INFO - inferred case=ToothFairy3F_054 tooth=28
[2026-05-07 15:43:20,306] INFO - inferred case=ToothFairy3F_054 tooth=31
[2026-05-07 15:43:20,571] INFO - inferred case=ToothFairy3F_054 tooth=32
[2026-05-07 15:43:20,862] INFO - inferred case=ToothFairy3F_054 tooth=33
[2026-05-07 15:43:21,111] INFO - inferred case=ToothFairy3F_054 tooth=34
[2026-05-07 15:43:21,368] INFO - inferred case=ToothFairy3F_054 tooth=35
[2026-05-07 15:43:21,671] INFO - inferred case=ToothFairy3F_054 tooth=36
[2026-05-07 15:43:21,985] INFO - inferred case=ToothFairy3F_054 tooth=37
[2026-05-07 15:43:22,265] INFO - inferred case=ToothFairy3F_054 tooth=38
[2026-05-07 15:43:22,480] INFO - inferred case=ToothFairy3F_054 tooth=41
[2026-05-07 15:43:22,690] INFO - inferred case=ToothFairy3F_054 tooth=42
[2026-05-07 15:43:22,920] INFO - inferred case=ToothFairy3F_054 tooth=43
[2026-05-07 15:43:23,136] INFO - inferred case=ToothFairy3F_054 tooth=44
[2026-05-07 15:43:23,357] INFO - inferred case=ToothFairy3F_054 tooth=45
[2026-05-07 15:43:23,669] INFO - inferred case=ToothFairy3F_054 tooth=46
[2026-05-07 15:43:24,002] INFO - inferred case=ToothFairy3F_054 tooth=47
[2026-05-07 15:43:24,290] INFO - inferred case=ToothFairy3F_054 tooth=48
[2026-05-07 15:43:24,485] INFO - inferred case=ToothFairy3F_055 tooth=11
[2026-05-07 15:43:24,694] INFO - inferred case=ToothFairy3F_055 tooth=12
[2026-05-07 15:43:24,908] INFO - inferred case=ToothFairy3F_055 tooth=13
[2026-05-07 15:43:25,107] INFO - inferred case=ToothFairy3F_055 tooth=14
[2026-05-07 15:43:25,302] INFO - inferred case=ToothFairy3F_055 tooth=15
[2026-05-07 15:43:25,600] INFO - inferred case=ToothFairy3F_055 tooth=16
[2026-05-07 15:43:25,907] INFO - inferred case=ToothFairy3F_055 tooth=17
[2026-05-07 15:43:26,138] INFO - inferred case=ToothFairy3F_055 tooth=18
[2026-05-07 15:43:26,328] INFO - inferred case=ToothFairy3F_055 tooth=21
