epoch,global_step,train_loss,holdout_loss,holdout_composite_score,best_composite_score,holdout_sym_mean,holdout_sym_p95,holdout_no_curve_count,holdout_bad_rate,h_pred_max,h_pred_p99,vox03,vox03_total,cc_count,lcc_ratio,wrap_coverage,hard_case_count,score_active,score_loss_component,score_sym_p95_component,score_no_curve_count_component,score_bad_rate_component,score_vox03_empty_component,score_cc_count_component,score_wrap_miss_component,score_hard_case_viewer_component,hard_case_sym_p95,hard_case_no_curve_count,hard_case_bad_rate,best_epoch,is_best,epochs_without_improve
0,426,1.1117437263609657,0.6770086132563078,2.5002172346728795,,8.051401138305664,18.89444351196289,3,0.6307692307692307,1.0,0.3468468299832617,8355.584615384616,543113,3.8615384615384616,0.9122720592435586,0.18039857228126627,12,0,1.3540172265126156,3.778888702392578,3.0,0.6307692307692307,0.0,0.7153846153846154,0.8196014277187338,4.291666666666667,171.77601623535156,2,1.0,,0,0
1,852,0.4798415518002891,0.6140982957986685,1.8875807031145084,,5.649054527282715,12.041594505310059,1,0.6,1.0,0.3641795184756356,8776.6,570479,1.6615384615384616,0.9692136857467935,0.15670966289669705,12,0,1.228196591597337,2.4083189010620116,1.0,0.6,0.0,0.1653846153846154,0.8432903371033029,4.25,165.56268310546875,1,0.9166666666666666,,0,0
2,1278,0.44941619388374365,0.6371322783140035,2.0824779702708094,,6.730025768280029,14.016050767898456,2,0.49230769230769234,1.0,0.25028780561229147,6568.430769230769,426948,1.4,0.9185950164369252,0.17701962506077107,12,0,1.274264556628007,2.803210153579691,2.0,0.49230769230769234,0.0,0.09999999999999998,0.8229803749392289,4.270833333333334,171.77601623535156,2,0.9166666666666666,,0,0
3,1704,0.4392961301434208,0.5914527384134439,1.8972482563215705,,6.4133453369140625,11.465144157409542,2,0.4307692307692308,1.0,0.3260712656830991,7693.615384615385,500085,1.6,0.9464183741625108,0.21621764649829134,12,0,1.1829054768268878,2.2930288314819083,2.0,0.4307692307692308,0.0,0.15000000000000002,0.7837823535017087,4.270833333333334,171.77601623535156,2,0.9166666666666666,,0,0
4,2130,0.4314142253617166,0.5596045645383688,1.6019057473869336,,4.288906097412109,8.306623458862305,1,0.36923076923076925,1.0,0.3920392843343366,8354.938461538462,543071,1.4153846153846155,0.9682128643937843,0.24931874658728526,12,0,1.1192091290767376,1.661324691772461,1.0,0.36923076923076925,0.0,0.10384615384615387,0.7506812534127147,4.208333333333333,165.56268310546875,1,0.75,,0,0
5,2556,0.42323293155627634,0.5381673964170309,1.1314853709817374,,2.686547040939331,8.246211051940918,0,0.3384615384615385,0.9999998807907104,0.3379368493156392,7975.830769230769,518429,1.8615384615384616,0.966149075094543,0.2691596019992781,12,0,1.0763347928340619,1.6492422103881836,0.0,0.3384615384615385,0.0,0.2153846153846154,0.7308403980007219,1.6474426930745438,17.988866996765132,0,0.8333333333333334,,0,0
6,2982,0.41902216884172017,0.554935951416309,1.6607153034765505,,4.297667980194092,9.273618698120117,1,0.38461538461538464,0.9999977350234985,0.2799710791202168,7109.138461538461,462094,1.4307692307692308,0.9598515243984866,0.26384470828576284,12,0,1.109871902832618,1.8547237396240235,1.0,0.38461538461538464,0.0,0.1076923076923077,0.7361552917142371,4.229166666666666,165.56268310546875,1,0.8333333333333334,,0,0
7,3408,0.41640171282727956,0.5302964824896592,1.6492878941971014,,4.354514122009277,9.219544410705566,1,0.46153846153846156,0.9999991655349731,0.35041613333191746,8156.076923076923,530145,1.6,0.9947966490177368,0.26490704493440637,12,0,1.0605929649793184,1.8439088821411134,1.0,0.46153846153846156,0.0,0.15000000000000002,0.7350929550655936,4.229166666666666,165.56268310546875,1,0.8333333333333334,,0,0
8,3834,0.4120944774066898,0.5611309473331157,1.1156490625123072,,2.4995031356811523,7.681145668029785,0,0.3384615384615385,0.9999990463256836,0.22531371607194497,6508.615384615385,423060,1.2153846153846153,0.979680206130142,0.26774828977178905,12,0,1.1222618946662315,1.536229133605957,0.0,0.3384615384615385,0.0,0.05384615384615382,0.7322517102282109,1.7078765080769858,18.744289684295655,0,0.8333333333333334,,0,0
9,4260,0.4090407569783394,0.5446116589582883,1.0304409719347323,,2.3505024909973145,6.78233003616333,0,0.3076923076923077,0.9999924898147583,0.217760260841434,6597.953846153846,428867,1.353846153846154,0.979290350029524,0.2906837231758673,12,0,1.0892233179165767,1.356466007232666,0.0,0.3076923076923077,0.0,0.08846153846153848,0.7093162768241327,1.5805070190429686,17.412587738037107,0,0.75,,0,0
