[started_at] 2026-06-01T08:33:23.196861+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/stage1_data_learning_curve_20260601_075445/experiments/pct040/config/best_theta_0.35.yaml
[2026-06-01 08:33:28,943] INFO - inferred case=ToothFairy3F_040 tooth=11
[2026-06-01 08:33:29,127] INFO - inferred case=ToothFairy3F_040 tooth=12
[2026-06-01 08:33:29,326] INFO - inferred case=ToothFairy3F_040 tooth=13
[2026-06-01 08:33:29,489] INFO - inferred case=ToothFairy3F_040 tooth=14
[2026-06-01 08:33:29,675] INFO - inferred case=ToothFairy3F_040 tooth=15
[2026-06-01 08:33:29,900] INFO - inferred case=ToothFairy3F_040 tooth=16
[2026-06-01 08:33:30,158] INFO - inferred case=ToothFairy3F_040 tooth=17
[2026-06-01 08:33:30,331] INFO - inferred case=ToothFairy3F_040 tooth=21
[2026-06-01 08:33:30,486] INFO - inferred case=ToothFairy3F_040 tooth=22
[2026-06-01 08:33:30,653] INFO - inferred case=ToothFairy3F_040 tooth=23
[2026-06-01 08:33:30,807] INFO - inferred case=ToothFairy3F_040 tooth=24
[2026-06-01 08:33:30,961] INFO - inferred case=ToothFairy3F_040 tooth=25
[2026-06-01 08:33:31,173] INFO - inferred case=ToothFairy3F_040 tooth=26
[2026-06-01 08:33:31,400] INFO - inferred case=ToothFairy3F_040 tooth=27
[2026-06-01 08:33:31,617] INFO - inferred case=ToothFairy3F_040 tooth=31
[2026-06-01 08:33:31,861] INFO - inferred case=ToothFairy3F_040 tooth=32
[2026-06-01 08:33:32,167] INFO - inferred case=ToothFairy3F_040 tooth=33
[2026-06-01 08:33:32,448] INFO - inferred case=ToothFairy3F_040 tooth=34
[2026-06-01 08:33:32,707] INFO - inferred case=ToothFairy3F_040 tooth=35
[2026-06-01 08:33:33,139] INFO - inferred case=ToothFairy3F_040 tooth=36
[2026-06-01 08:33:33,791] INFO - inferred case=ToothFairy3F_040 tooth=37
[2026-06-01 08:33:34,177] INFO - inferred case=ToothFairy3F_040 tooth=38
[2026-06-01 08:33:34,391] INFO - inferred case=ToothFairy3F_040 tooth=41
[2026-06-01 08:33:34,609] INFO - inferred case=ToothFairy3F_040 tooth=42
[2026-06-01 08:33:34,862] INFO - inferred case=ToothFairy3F_040 tooth=43
[2026-06-01 08:33:35,197] INFO - inferred case=ToothFairy3F_040 tooth=44
[2026-06-01 08:33:35,513] INFO - inferred case=ToothFairy3F_040 tooth=45
[2026-06-01 08:33:36,038] INFO - inferred case=ToothFairy3F_040 tooth=46
[2026-06-01 08:33:36,605] INFO - inferred case=ToothFairy3F_040 tooth=47
[2026-06-01 08:33:37,095] INFO - inferred case=ToothFairy3F_040 tooth=48
[2026-06-01 08:33:37,288] INFO - inferred case=ToothFairy3F_044 tooth=11
[2026-06-01 08:33:37,477] INFO - inferred case=ToothFairy3F_044 tooth=12
[2026-06-01 08:33:37,666] INFO - inferred case=ToothFairy3F_044 tooth=13
[2026-06-01 08:33:37,863] INFO - inferred case=ToothFairy3F_044 tooth=14
[2026-06-01 08:33:38,020] INFO - inferred case=ToothFairy3F_044 tooth=15
[2026-06-01 08:33:38,288] INFO - inferred case=ToothFairy3F_044 tooth=16
[2026-06-01 08:33:38,464] INFO - inferred case=ToothFairy3F_044 tooth=21
[2026-06-01 08:33:38,665] INFO - inferred case=ToothFairy3F_044 tooth=22
[2026-06-01 08:33:38,859] INFO - inferred case=ToothFairy3F_044 tooth=23
[2026-06-01 08:33:39,089] INFO - inferred case=ToothFairy3F_044 tooth=24
[2026-06-01 08:33:39,260] INFO - inferred case=ToothFairy3F_044 tooth=25
[2026-06-01 08:33:39,787] INFO - inferred case=ToothFairy3F_044 tooth=26
[2026-06-01 08:33:40,157] INFO - inferred case=ToothFairy3F_044 tooth=27
[2026-06-01 08:33:40,438] INFO - inferred case=ToothFairy3F_044 tooth=28
[2026-06-01 08:33:40,727] INFO - inferred case=ToothFairy3F_044 tooth=31
[2026-06-01 08:33:41,037] INFO - inferred case=ToothFairy3F_044 tooth=32
[2026-06-01 08:33:41,384] INFO - inferred case=ToothFairy3F_044 tooth=33
[2026-06-01 08:33:41,708] INFO - inferred case=ToothFairy3F_044 tooth=34
[2026-06-01 08:33:42,032] INFO - inferred case=ToothFairy3F_044 tooth=35
[2026-06-01 08:33:42,551] INFO - inferred case=ToothFairy3F_044 tooth=36
[2026-06-01 08:33:42,819] INFO - inferred case=ToothFairy3F_044 tooth=41
[2026-06-01 08:33:43,100] INFO - inferred case=ToothFairy3F_044 tooth=42
[2026-06-01 08:33:43,453] INFO - inferred case=ToothFairy3F_044 tooth=43
[2026-06-01 08:33:43,737] INFO - inferred case=ToothFairy3F_044 tooth=44
[2026-06-01 08:33:43,987] INFO - inferred case=ToothFairy3F_044 tooth=45
[2026-06-01 08:33:44,425] INFO - inferred case=ToothFairy3F_044 tooth=46
[2026-06-01 08:33:44,886] INFO - inferred case=ToothFairy3F_044 tooth=47
[2026-06-01 08:33:45,355] INFO - inferred case=ToothFairy3F_044 tooth=48
[2026-06-01 08:33:45,611] INFO - inferred case=ToothFairy3F_052 tooth=11
[2026-06-01 08:33:45,860] INFO - inferred case=ToothFairy3F_052 tooth=12
[2026-06-01 08:33:46,148] INFO - inferred case=ToothFairy3F_052 tooth=13
[2026-06-01 08:33:46,425] INFO - inferred case=ToothFairy3F_052 tooth=14
[2026-06-01 08:33:46,703] INFO - inferred case=ToothFairy3F_052 tooth=15
[2026-06-01 08:33:47,010] INFO - inferred case=ToothFairy3F_052 tooth=16
[2026-06-01 08:33:47,373] INFO - inferred case=ToothFairy3F_052 tooth=17
[2026-06-01 08:33:47,626] INFO - inferred case=ToothFairy3F_052 tooth=18
[2026-06-01 08:33:47,864] INFO - inferred case=ToothFairy3F_052 tooth=21
[2026-06-01 08:33:48,103] INFO - inferred case=ToothFairy3F_052 tooth=22
[2026-06-01 08:33:48,334] INFO - inferred case=ToothFairy3F_052 tooth=23
[2026-06-01 08:33:48,573] INFO - inferred case=ToothFairy3F_052 tooth=24
[2026-06-01 08:33:48,802] INFO - inferred case=ToothFairy3F_052 tooth=25
[2026-06-01 08:33:49,115] INFO - inferred case=ToothFairy3F_052 tooth=26
[2026-06-01 08:33:49,460] INFO - inferred case=ToothFairy3F_052 tooth=27
[2026-06-01 08:33:49,668] INFO - inferred case=ToothFairy3F_052 tooth=31
[2026-06-01 08:33:49,888] INFO - inferred case=ToothFairy3F_052 tooth=32
[2026-06-01 08:33:50,152] INFO - inferred case=ToothFairy3F_052 tooth=33
[2026-06-01 08:33:50,366] INFO - inferred case=ToothFairy3F_052 tooth=34
[2026-06-01 08:33:50,634] INFO - inferred case=ToothFairy3F_052 tooth=35
[2026-06-01 08:33:50,985] INFO - inferred case=ToothFairy3F_052 tooth=36
[2026-06-01 08:33:51,365] INFO - inferred case=ToothFairy3F_052 tooth=37
[2026-06-01 08:33:51,692] INFO - inferred case=ToothFairy3F_052 tooth=38
[2026-06-01 08:33:51,891] INFO - inferred case=ToothFairy3F_052 tooth=41
[2026-06-01 08:33:52,095] INFO - inferred case=ToothFairy3F_052 tooth=42
[2026-06-01 08:33:52,323] INFO - inferred case=ToothFairy3F_052 tooth=43
[2026-06-01 08:33:52,543] INFO - inferred case=ToothFairy3F_052 tooth=44
[2026-06-01 08:33:52,799] INFO - inferred case=ToothFairy3F_052 tooth=45
[2026-06-01 08:33:53,157] INFO - inferred case=ToothFairy3F_052 tooth=46
[2026-06-01 08:33:53,497] INFO - inferred case=ToothFairy3F_052 tooth=47
[2026-06-01 08:33:58,497] INFO - stitched case=ToothFairy3F_040
[2026-06-01 08:34:03,484] INFO - stitched case=ToothFairy3F_044
[2026-06-01 08:34:08,639] INFO - stitched case=ToothFairy3F_052
[finished_at] 2026-06-01T08:34:09.890110+00:00
[returncode] 0
