[started_at] 2026-06-01T10:54:01.130852+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/stage1_geometry_prior_loss_20260601_101405/config/best_theta_0.20.yaml
[2026-06-01 10:54:04,969] INFO - inferred case=ToothFairy3F_040 tooth=11
[2026-06-01 10:54:05,181] INFO - inferred case=ToothFairy3F_040 tooth=12
[2026-06-01 10:54:05,376] INFO - inferred case=ToothFairy3F_040 tooth=13
[2026-06-01 10:54:05,557] INFO - inferred case=ToothFairy3F_040 tooth=14
[2026-06-01 10:54:05,781] INFO - inferred case=ToothFairy3F_040 tooth=15
[2026-06-01 10:54:06,360] INFO - inferred case=ToothFairy3F_040 tooth=16
[2026-06-01 10:54:06,686] INFO - inferred case=ToothFairy3F_040 tooth=17
[2026-06-01 10:54:06,889] INFO - inferred case=ToothFairy3F_040 tooth=21
[2026-06-01 10:54:07,107] INFO - inferred case=ToothFairy3F_040 tooth=22
[2026-06-01 10:54:07,286] INFO - inferred case=ToothFairy3F_040 tooth=23
[2026-06-01 10:54:07,441] INFO - inferred case=ToothFairy3F_040 tooth=24
[2026-06-01 10:54:07,591] INFO - inferred case=ToothFairy3F_040 tooth=25
[2026-06-01 10:54:07,906] INFO - inferred case=ToothFairy3F_040 tooth=26
[2026-06-01 10:54:08,170] INFO - inferred case=ToothFairy3F_040 tooth=27
[2026-06-01 10:54:08,401] INFO - inferred case=ToothFairy3F_040 tooth=31
[2026-06-01 10:54:08,740] INFO - inferred case=ToothFairy3F_040 tooth=32
[2026-06-01 10:54:09,090] INFO - inferred case=ToothFairy3F_040 tooth=33
[2026-06-01 10:54:09,383] INFO - inferred case=ToothFairy3F_040 tooth=34
[2026-06-01 10:54:09,695] INFO - inferred case=ToothFairy3F_040 tooth=35
[2026-06-01 10:54:10,110] INFO - inferred case=ToothFairy3F_040 tooth=36
[2026-06-01 10:54:10,590] INFO - inferred case=ToothFairy3F_040 tooth=37
[2026-06-01 10:54:10,959] INFO - inferred case=ToothFairy3F_040 tooth=38
[2026-06-01 10:54:11,236] INFO - inferred case=ToothFairy3F_040 tooth=41
[2026-06-01 10:54:11,477] INFO - inferred case=ToothFairy3F_040 tooth=42
[2026-06-01 10:54:11,731] INFO - inferred case=ToothFairy3F_040 tooth=43
[2026-06-01 10:54:12,053] INFO - inferred case=ToothFairy3F_040 tooth=44
[2026-06-01 10:54:12,342] INFO - inferred case=ToothFairy3F_040 tooth=45
[2026-06-01 10:54:12,699] INFO - inferred case=ToothFairy3F_040 tooth=46
[2026-06-01 10:54:13,290] INFO - inferred case=ToothFairy3F_040 tooth=47
[2026-06-01 10:54:13,871] INFO - inferred case=ToothFairy3F_040 tooth=48
[2026-06-01 10:54:14,064] INFO - inferred case=ToothFairy3F_044 tooth=11
[2026-06-01 10:54:14,255] INFO - inferred case=ToothFairy3F_044 tooth=12
[2026-06-01 10:54:14,498] INFO - inferred case=ToothFairy3F_044 tooth=13
[2026-06-01 10:54:14,728] INFO - inferred case=ToothFairy3F_044 tooth=14
[2026-06-01 10:54:14,888] INFO - inferred case=ToothFairy3F_044 tooth=15
[2026-06-01 10:54:15,265] INFO - inferred case=ToothFairy3F_044 tooth=16
[2026-06-01 10:54:15,524] INFO - inferred case=ToothFairy3F_044 tooth=21
[2026-06-01 10:54:15,747] INFO - inferred case=ToothFairy3F_044 tooth=22
[2026-06-01 10:54:15,936] INFO - inferred case=ToothFairy3F_044 tooth=23
[2026-06-01 10:54:16,118] INFO - inferred case=ToothFairy3F_044 tooth=24
[2026-06-01 10:54:16,337] INFO - inferred case=ToothFairy3F_044 tooth=25
[2026-06-01 10:54:16,743] INFO - inferred case=ToothFairy3F_044 tooth=26
[2026-06-01 10:54:16,946] INFO - inferred case=ToothFairy3F_044 tooth=27
[2026-06-01 10:54:17,122] INFO - inferred case=ToothFairy3F_044 tooth=28
[2026-06-01 10:54:17,330] INFO - inferred case=ToothFairy3F_044 tooth=31
[2026-06-01 10:54:17,545] INFO - inferred case=ToothFairy3F_044 tooth=32
[2026-06-01 10:54:17,818] INFO - inferred case=ToothFairy3F_044 tooth=33
[2026-06-01 10:54:18,072] INFO - inferred case=ToothFairy3F_044 tooth=34
[2026-06-01 10:54:18,328] INFO - inferred case=ToothFairy3F_044 tooth=35
[2026-06-01 10:54:18,744] INFO - inferred case=ToothFairy3F_044 tooth=36
[2026-06-01 10:54:18,938] INFO - inferred case=ToothFairy3F_044 tooth=41
[2026-06-01 10:54:19,146] INFO - inferred case=ToothFairy3F_044 tooth=42
[2026-06-01 10:54:19,420] INFO - inferred case=ToothFairy3F_044 tooth=43
[2026-06-01 10:54:19,660] INFO - inferred case=ToothFairy3F_044 tooth=44
[2026-06-01 10:54:19,898] INFO - inferred case=ToothFairy3F_044 tooth=45
[2026-06-01 10:54:20,290] INFO - inferred case=ToothFairy3F_044 tooth=46
[2026-06-01 10:54:20,680] INFO - inferred case=ToothFairy3F_044 tooth=47
[2026-06-01 10:54:21,015] INFO - inferred case=ToothFairy3F_044 tooth=48
[2026-06-01 10:54:21,235] INFO - inferred case=ToothFairy3F_052 tooth=11
[2026-06-01 10:54:21,427] INFO - inferred case=ToothFairy3F_052 tooth=12
[2026-06-01 10:54:21,656] INFO - inferred case=ToothFairy3F_052 tooth=13
[2026-06-01 10:54:21,879] INFO - inferred case=ToothFairy3F_052 tooth=14
[2026-06-01 10:54:22,106] INFO - inferred case=ToothFairy3F_052 tooth=15
[2026-06-01 10:54:22,419] INFO - inferred case=ToothFairy3F_052 tooth=16
[2026-06-01 10:54:22,713] INFO - inferred case=ToothFairy3F_052 tooth=17
[2026-06-01 10:54:22,950] INFO - inferred case=ToothFairy3F_052 tooth=18
[2026-06-01 10:54:23,171] INFO - inferred case=ToothFairy3F_052 tooth=21
[2026-06-01 10:54:23,400] INFO - inferred case=ToothFairy3F_052 tooth=22
[2026-06-01 10:54:23,626] INFO - inferred case=ToothFairy3F_052 tooth=23
[2026-06-01 10:54:23,851] INFO - inferred case=ToothFairy3F_052 tooth=24
[2026-06-01 10:54:24,061] INFO - inferred case=ToothFairy3F_052 tooth=25
[2026-06-01 10:54:24,358] INFO - inferred case=ToothFairy3F_052 tooth=26
[2026-06-01 10:54:24,692] INFO - inferred case=ToothFairy3F_052 tooth=27
[2026-06-01 10:54:24,880] INFO - inferred case=ToothFairy3F_052 tooth=31
[2026-06-01 10:54:25,136] INFO - inferred case=ToothFairy3F_052 tooth=32
[2026-06-01 10:54:25,425] INFO - inferred case=ToothFairy3F_052 tooth=33
[2026-06-01 10:54:25,688] INFO - inferred case=ToothFairy3F_052 tooth=34
[2026-06-01 10:54:25,978] INFO - inferred case=ToothFairy3F_052 tooth=35
[2026-06-01 10:54:26,367] INFO - inferred case=ToothFairy3F_052 tooth=36
[2026-06-01 10:54:26,723] INFO - inferred case=ToothFairy3F_052 tooth=37
[2026-06-01 10:54:27,044] INFO - inferred case=ToothFairy3F_052 tooth=38
[2026-06-01 10:54:27,230] INFO - inferred case=ToothFairy3F_052 tooth=41
[2026-06-01 10:54:27,424] INFO - inferred case=ToothFairy3F_052 tooth=42
[2026-06-01 10:54:27,665] INFO - inferred case=ToothFairy3F_052 tooth=43
[2026-06-01 10:54:27,876] INFO - inferred case=ToothFairy3F_052 tooth=44
[2026-06-01 10:54:28,117] INFO - inferred case=ToothFairy3F_052 tooth=45
[2026-06-01 10:54:28,467] INFO - inferred case=ToothFairy3F_052 tooth=46
[2026-06-01 10:54:28,778] INFO - inferred case=ToothFairy3F_052 tooth=47
[2026-06-01 10:54:32,679] INFO - stitched case=ToothFairy3F_040
[2026-06-01 10:54:36,433] INFO - stitched case=ToothFairy3F_044
[2026-06-01 10:54:40,426] INFO - stitched case=ToothFairy3F_052
[finished_at] 2026-06-01T10:54:41.053720+00:00
[returncode] 0
