[started_at] 2026-06-01T11:30:27.822454+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/stage1_geometry_prior_loss_only_20260601_110722/config/best_theta_0.30.yaml
[2026-06-01 11:30:31,846] INFO - inferred case=ToothFairy3F_040 tooth=11
[2026-06-01 11:30:32,024] INFO - inferred case=ToothFairy3F_040 tooth=12
[2026-06-01 11:30:32,218] INFO - inferred case=ToothFairy3F_040 tooth=13
[2026-06-01 11:30:32,384] INFO - inferred case=ToothFairy3F_040 tooth=14
[2026-06-01 11:30:32,572] INFO - inferred case=ToothFairy3F_040 tooth=15
[2026-06-01 11:30:32,798] INFO - inferred case=ToothFairy3F_040 tooth=16
[2026-06-01 11:30:33,044] INFO - inferred case=ToothFairy3F_040 tooth=17
[2026-06-01 11:30:33,210] INFO - inferred case=ToothFairy3F_040 tooth=21
[2026-06-01 11:30:33,365] INFO - inferred case=ToothFairy3F_040 tooth=22
[2026-06-01 11:30:33,530] INFO - inferred case=ToothFairy3F_040 tooth=23
[2026-06-01 11:30:33,719] INFO - inferred case=ToothFairy3F_040 tooth=24
[2026-06-01 11:30:33,877] INFO - inferred case=ToothFairy3F_040 tooth=25
[2026-06-01 11:30:34,079] INFO - inferred case=ToothFairy3F_040 tooth=26
[2026-06-01 11:30:34,270] INFO - inferred case=ToothFairy3F_040 tooth=27
[2026-06-01 11:30:34,495] INFO - inferred case=ToothFairy3F_040 tooth=31
[2026-06-01 11:30:34,744] INFO - inferred case=ToothFairy3F_040 tooth=32
[2026-06-01 11:30:35,052] INFO - inferred case=ToothFairy3F_040 tooth=33
[2026-06-01 11:30:35,367] INFO - inferred case=ToothFairy3F_040 tooth=34
[2026-06-01 11:30:35,727] INFO - inferred case=ToothFairy3F_040 tooth=35
[2026-06-01 11:30:36,090] INFO - inferred case=ToothFairy3F_040 tooth=36
[2026-06-01 11:30:36,464] INFO - inferred case=ToothFairy3F_040 tooth=37
[2026-06-01 11:30:36,890] INFO - inferred case=ToothFairy3F_040 tooth=38
[2026-06-01 11:30:37,151] INFO - inferred case=ToothFairy3F_040 tooth=41
[2026-06-01 11:30:37,368] INFO - inferred case=ToothFairy3F_040 tooth=42
[2026-06-01 11:30:37,620] INFO - inferred case=ToothFairy3F_040 tooth=43
[2026-06-01 11:30:37,885] INFO - inferred case=ToothFairy3F_040 tooth=44
[2026-06-01 11:30:38,118] INFO - inferred case=ToothFairy3F_040 tooth=45
[2026-06-01 11:30:38,455] INFO - inferred case=ToothFairy3F_040 tooth=46
[2026-06-01 11:30:38,788] INFO - inferred case=ToothFairy3F_040 tooth=47
[2026-06-01 11:30:39,158] INFO - inferred case=ToothFairy3F_040 tooth=48
[2026-06-01 11:30:39,352] INFO - inferred case=ToothFairy3F_044 tooth=11
[2026-06-01 11:30:39,541] INFO - inferred case=ToothFairy3F_044 tooth=12
[2026-06-01 11:30:39,726] INFO - inferred case=ToothFairy3F_044 tooth=13
[2026-06-01 11:30:39,927] INFO - inferred case=ToothFairy3F_044 tooth=14
[2026-06-01 11:30:40,084] INFO - inferred case=ToothFairy3F_044 tooth=15
[2026-06-01 11:30:40,339] INFO - inferred case=ToothFairy3F_044 tooth=16
[2026-06-01 11:30:40,512] INFO - inferred case=ToothFairy3F_044 tooth=21
[2026-06-01 11:30:40,712] INFO - inferred case=ToothFairy3F_044 tooth=22
[2026-06-01 11:30:40,906] INFO - inferred case=ToothFairy3F_044 tooth=23
[2026-06-01 11:30:41,146] INFO - inferred case=ToothFairy3F_044 tooth=24
[2026-06-01 11:30:41,359] INFO - inferred case=ToothFairy3F_044 tooth=25
[2026-06-01 11:30:41,665] INFO - inferred case=ToothFairy3F_044 tooth=26
[2026-06-01 11:30:41,902] INFO - inferred case=ToothFairy3F_044 tooth=27
[2026-06-01 11:30:42,092] INFO - inferred case=ToothFairy3F_044 tooth=28
[2026-06-01 11:30:42,317] INFO - inferred case=ToothFairy3F_044 tooth=31
[2026-06-01 11:30:42,548] INFO - inferred case=ToothFairy3F_044 tooth=32
[2026-06-01 11:30:42,833] INFO - inferred case=ToothFairy3F_044 tooth=33
[2026-06-01 11:30:43,105] INFO - inferred case=ToothFairy3F_044 tooth=34
[2026-06-01 11:30:43,377] INFO - inferred case=ToothFairy3F_044 tooth=35
[2026-06-01 11:30:43,746] INFO - inferred case=ToothFairy3F_044 tooth=36
[2026-06-01 11:30:43,964] INFO - inferred case=ToothFairy3F_044 tooth=41
[2026-06-01 11:30:44,189] INFO - inferred case=ToothFairy3F_044 tooth=42
[2026-06-01 11:30:44,500] INFO - inferred case=ToothFairy3F_044 tooth=43
[2026-06-01 11:30:44,760] INFO - inferred case=ToothFairy3F_044 tooth=44
[2026-06-01 11:30:45,059] INFO - inferred case=ToothFairy3F_044 tooth=45
[2026-06-01 11:30:45,480] INFO - inferred case=ToothFairy3F_044 tooth=46
[2026-06-01 11:30:45,930] INFO - inferred case=ToothFairy3F_044 tooth=47
[2026-06-01 11:30:46,268] INFO - inferred case=ToothFairy3F_044 tooth=48
[2026-06-01 11:30:46,550] INFO - inferred case=ToothFairy3F_052 tooth=11
[2026-06-01 11:30:46,791] INFO - inferred case=ToothFairy3F_052 tooth=12
[2026-06-01 11:30:47,071] INFO - inferred case=ToothFairy3F_052 tooth=13
[2026-06-01 11:30:47,329] INFO - inferred case=ToothFairy3F_052 tooth=14
[2026-06-01 11:30:47,568] INFO - inferred case=ToothFairy3F_052 tooth=15
[2026-06-01 11:30:47,894] INFO - inferred case=ToothFairy3F_052 tooth=16
[2026-06-01 11:30:48,207] INFO - inferred case=ToothFairy3F_052 tooth=17
[2026-06-01 11:30:48,460] INFO - inferred case=ToothFairy3F_052 tooth=18
[2026-06-01 11:30:48,700] INFO - inferred case=ToothFairy3F_052 tooth=21
[2026-06-01 11:30:48,941] INFO - inferred case=ToothFairy3F_052 tooth=22
[2026-06-01 11:30:49,170] INFO - inferred case=ToothFairy3F_052 tooth=23
[2026-06-01 11:30:49,409] INFO - inferred case=ToothFairy3F_052 tooth=24
[2026-06-01 11:30:49,633] INFO - inferred case=ToothFairy3F_052 tooth=25
[2026-06-01 11:30:49,933] INFO - inferred case=ToothFairy3F_052 tooth=26
[2026-06-01 11:30:50,218] INFO - inferred case=ToothFairy3F_052 tooth=27
[2026-06-01 11:30:50,431] INFO - inferred case=ToothFairy3F_052 tooth=31
[2026-06-01 11:30:50,672] INFO - inferred case=ToothFairy3F_052 tooth=32
[2026-06-01 11:30:50,941] INFO - inferred case=ToothFairy3F_052 tooth=33
[2026-06-01 11:30:51,156] INFO - inferred case=ToothFairy3F_052 tooth=34
[2026-06-01 11:30:51,423] INFO - inferred case=ToothFairy3F_052 tooth=35
[2026-06-01 11:30:51,745] INFO - inferred case=ToothFairy3F_052 tooth=36
[2026-06-01 11:30:52,080] INFO - inferred case=ToothFairy3F_052 tooth=37
[2026-06-01 11:30:52,399] INFO - inferred case=ToothFairy3F_052 tooth=38
[2026-06-01 11:30:52,610] INFO - inferred case=ToothFairy3F_052 tooth=41
[2026-06-01 11:30:52,820] INFO - inferred case=ToothFairy3F_052 tooth=42
[2026-06-01 11:30:53,051] INFO - inferred case=ToothFairy3F_052 tooth=43
[2026-06-01 11:30:53,271] INFO - inferred case=ToothFairy3F_052 tooth=44
[2026-06-01 11:30:53,521] INFO - inferred case=ToothFairy3F_052 tooth=45
[2026-06-01 11:30:53,880] INFO - inferred case=ToothFairy3F_052 tooth=46
[2026-06-01 11:30:54,184] INFO - inferred case=ToothFairy3F_052 tooth=47
[2026-06-01 11:30:59,278] INFO - stitched case=ToothFairy3F_040
[2026-06-01 11:31:04,053] INFO - stitched case=ToothFairy3F_044
[2026-06-01 11:31:08,577] INFO - stitched case=ToothFairy3F_052
[finished_at] 2026-06-01T11:31:09.296102+00:00
[returncode] 0
