epoch,global_step,train_loss,holdout_loss,holdout_composite_score,best_composite_score,holdout_sym_mean,holdout_sym_p95,holdout_manual_point_mean,holdout_manual_point_p95,holdout_manual_point_sr1,holdout_manual_point_sr2,holdout_manual_point_count,holdout_no_curve_count,holdout_bad_rate,h_pred_max,h_pred_p99,vox03,vox03_total,cc_count,lcc_ratio,wrap_coverage,hard_case_count,score_active,score_loss_component,score_sym_p95_component,score_no_curve_count_component,score_manual_point_p95_component,score_manual_point_sr1_miss_component,score_bad_rate_component,score_vox03_empty_component,score_cc_count_component,score_wrap_miss_component,score_hard_case_viewer_component,hard_case_sym_p95,hard_case_no_curve_count,hard_case_bad_rate,best_epoch,is_best,epochs_without_improve
0,426,1.112411123206358,0.6146947975342091,1.254933058180083,,2.743772268295288,7.280109882354736,2.606788158416748,6.405678081512448,0.18352941176470589,0.4886274509803922,1275,0,0.5230769230769231,1.0,0.3384401804110605,8545.36923076923,555449,4.476923076923077,0.9811483040813905,0.22333736892834014,12,0,1.2293895950684182,1.4560219764709472,0.0,1.2811356163024896,0.8164705882352941,0.5230769230769231,0.0,0.8692307692307693,0.7766626310716599,1.5985322138468425,17.898319339752195,0,0.6666666666666666,,0,0
1,852,0.4782215011931361,0.6278388899106245,2.1114866755298562,,7.562171936035156,11.747340202331543,10.749344825744629,19.460432243347167,0.15529411764705883,0.45019607843137255,1275,3,0.5076923076923077,1.0,0.31752419719827985,7340.369230769231,477124,1.5692307692307692,0.953035117392065,0.19370089797468534,12,0,1.255677779821249,2.3494680404663084,3.0,3.8920864486694335,0.8447058823529412,0.5076923076923077,0.0,0.1423076923076923,0.8062991020253146,4.291666666666667,171.77601623535156,2,1.0,,0,0
2,1278,0.44945635454195765,0.5793900425617512,1.3271550429538608,,2.9923906326293945,9.0,2.8576066493988037,7.978592109680174,0.1631372549019608,0.48,1275,0,0.49230769230769234,1.0,0.35419783095863655,8223.846153846154,534550,1.523076923076923,0.9819945348702969,0.19960370678163164,12,0,1.1587800851235024,1.8,0.0,1.5957184219360347,0.8368627450980393,0.49230769230769234,0.0,0.13076923076923075,0.8003962932183684,1.6578570912679036,18.119046974182126,0,0.8333333333333334,,0,0
3,1704,0.43893937829514623,0.5770932977016155,1.7026349356256318,,4.440008640289307,9.05538558959961,5.526236534118652,12.319757556915274,0.19058823529411764,0.5396078431372549,1275,1,0.3384615384615385,1.0,0.29522562086492343,7220.753846153846,469349,1.4307692307692308,0.9611044347185936,0.234866323701452,12,0,1.154186595403231,1.8110771179199219,1.0,2.463951511383055,0.8094117647058824,0.3384615384615385,0.0,0.1076923076923077,0.765133676298548,4.229166666666666,178.98324584960938,1,0.8333333333333334,,0,0
4,2130,0.4302999388444032,0.5439959379342886,1.1890258152088347,,2.49753475189209,7.549834251403809,2.548438549041748,8.313579082489008,0.21803921568627452,0.5607843137254902,1275,0,0.38461538461538464,1.0,0.36432828528481037,8116.876923076923,527597,1.2461538461538462,0.981554993395395,0.251978948899483,12,0,1.0879918758685772,1.5099668502807617,0.0,1.6627158164978018,0.7819607843137255,0.38461538461538464,0.0,0.06153846153846154,0.748021051100517,1.6802352396647138,18.138357162475586,0,0.9166666666666666,,0,0
5,2556,0.4233328254429947,0.5249946442934182,1.1703745157075671,,2.6271042823791504,7.8102498054504395,2.307176113128662,5.910825443267821,0.21568627450980393,0.5607843137254902,1275,0,0.36923076923076925,1.0,0.4239739387598617,9003.676923076922,585239,1.4615384615384615,0.9817313389594562,0.2552983585400283,12,0,1.0499892885868365,1.562049961090088,0.0,1.1821650886535642,0.7843137254901961,0.36923076923076925,0.0,0.11538461538461536,0.7447016414599716,1.4777069473266602,16.127586841583252,0,0.75,,0,0
6,2982,0.41951709656928066,0.5465385230687948,1.0691847291033547,,2.2563700675964355,5.916079998016357,2.4420876502990723,7.387902736663814,0.2407843137254902,0.6094117647058823,1275,0,0.23076923076923078,0.9999966621398926,0.25595048257732883,6866.261538461538,446307,1.1846153846153846,0.9679433893181735,0.2764627285118181,12,0,1.0930770461375896,1.1832159996032714,0.0,1.4775805473327628,0.7592156862745099,0.23076923076923078,0.0,0.046153846153846156,0.7235372714881819,1.7396852874755862,19.402316093444824,0,0.75,,0,0
7,3408,0.41593614276586005,0.522068800834509,1.2310340772532185,,2.616361141204834,8.602325439453125,2.359609365463257,6.607334661483754,0.2415686274509804,0.6180392156862745,1275,0,0.3230769230769231,0.9999995231628418,0.3230100152019472,7897.415384615385,513332,1.2153846153846153,0.9944430297977189,0.27343613819792084,12,0,1.044137601669018,1.720465087890625,0.0,1.3214669322967507,0.7584313725490196,0.3230769230769231,0.0,0.05384615384615382,0.7265638618020791,1.5985775349934894,17.37805252075195,0,0.8333333333333334,,0,0
8,3834,0.41231257080192296,0.5520140790022336,1.9238568523167072,,7.881869792938232,10.104431200027035,10.84150218963623,62.23232498168274,0.2007843137254902,0.5396078431372549,1275,3,0.3384615384615385,0.9999994039535522,0.23251056006724125,6781.461538461538,440795,1.2307692307692308,0.9386639056290843,0.2374633728560632,12,0,1.1040281580044673,2.020886240005407,3.0,10.0,0.7992156862745098,0.3384615384615385,0.0,0.05769230769230771,0.7625366271439368,4.291666666666667,178.98324584960938,3,0.9166666666666666,,0,0
9,4260,0.4091084382623574,0.5722815664914939,2.2980270933728306,,9.636398315429688,14.177447319030762,13.56334400177002,165.56268310546875,0.24,0.5725490196078431,1275,4,0.27692307692307694,0.9999842643737793,0.1869182590913651,6047.846153846154,393110,1.123076923076923,0.919538508781255,0.2645988481330645,12,0,1.1445631329829877,2.8354894638061525,4.0,10.0,0.76,0.27692307692307694,0.0,0.03076923076923077,0.7354011518669354,4.3125,178.98324584960938,4,0.9166666666666666,,0,0
