split,source,case_id,source_case_dir,copied_case_dir,usage_report,tooth_dir_count
train16,manual6_from_run_unsup_001,ToothFairy3F_008,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_008,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_008,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,32
train16,manual6_from_run_unsup_001,ToothFairy3F_009,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_009,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_009,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,32
train16,manual6_from_run_unsup_001,ToothFairy3F_010,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_010,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_010,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,32
train16,manual6_from_run_unsup_001,ToothFairy3F_018,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_018,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_018,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,29
train16,manual6_from_run_unsup_001,ToothFairy3F_021,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_021,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_021,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,30
train16,manual6_from_run_unsup_001,ToothFairy3F_023,/root/cej_runs/run_unsup_001/processed/ToothFairy3F_023,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_023,/root/cej_runs/run_unsup_001/manual_points_usage_report.json,32
train16,manual_new_025040_001,ToothFairy3F_025,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_025,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_025,/root/cej_runs/run_manual_new_025040_001/manual_points_usage_report.json,29
train16,manual_new_025040_001,ToothFairy3F_026,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_026,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_026,/root/cej_runs/run_manual_new_025040_001/manual_points_usage_report.json,32
train16,manual_new_025040_001,ToothFairy3F_027,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_027,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_027,/root/cej_runs/run_manual_new_025040_001/manual_points_usage_report.json,32
train16,manual_new_025040_001,ToothFairy3F_033,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_033,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_033,/root/cej_runs/run_manual_new_025040_001/manual_points_usage_report.json,31
train16,manual_inc_041055_001,ToothFairy3F_041,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_041,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_041,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,30
train16,manual_inc_041055_001,ToothFairy3F_050,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_050,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_050,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,32
train16,manual_inc_041055_001,ToothFairy3F_051,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_051,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_051,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,32
train16,manual_inc_041055_001,ToothFairy3F_053,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_053,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_053,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,30
train16,manual_inc_041055_001,ToothFairy3F_054,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_054,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_054,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,31
train16,manual_inc_041055_001,ToothFairy3F_055,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_055,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_train16/ToothFairy3F_055,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,31
holdout3,manual_new_025040_001,ToothFairy3F_040,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_040,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_holdout3/ToothFairy3F_040,/root/cej_runs/run_manual_new_025040_001/manual_points_usage_report.json,30
holdout3,manual_inc_041055_001,ToothFairy3F_044,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_044,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_holdout3/ToothFairy3F_044,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,28
holdout3,manual_inc_041055_001,ToothFairy3F_052,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_052,/root/cej_isolated_runs/C/stage1_geometry_prior_preprocess_20260601_101207/input/processed_holdout3/ToothFairy3F_052,/root/cej_runs/run_manual_inc_041055_001/manual_points_usage_report.json,30
