split,case_id,source
train,ToothFairy3F_008,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_008
train,ToothFairy3F_009,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_009
train,ToothFairy3F_010,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_010
train,ToothFairy3F_018,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_018
train,ToothFairy3F_021,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_021
train,ToothFairy3F_023,/root/cej_runs/run_sup_manual6_002/processed_manual/ToothFairy3F_023
train,ToothFairy3F_025,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_025
train,ToothFairy3F_026,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_026
train,ToothFairy3F_027,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_027
train,ToothFairy3F_033,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_033
train,ToothFairy3F_041,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_041
train,ToothFairy3F_050,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_050
train,ToothFairy3F_051,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_051
train,ToothFairy3F_053,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_053
train,ToothFairy3F_054,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_054
train,ToothFairy3F_055,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_055
holdout,ToothFairy3F_040,/root/cej_runs/run_manual_new_025040_001/processed/ToothFairy3F_040
holdout,ToothFairy3F_044,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_044
holdout,ToothFairy3F_052,/root/cej_runs/run_manual_inc_041055_001/processed/ToothFairy3F_052
