[started_at] 2026-06-01T02:17:33.299995+00:00
[cmd] /usr/local/miniconda3/envs/py310/bin/python -m src.infer --config /root/cej_isolated_runs/C/unsup_to_goal_retrain_20260601_012139_stage2_goal19/config/theta_0.25.yaml
[2026-06-01 02:17:38,710] INFO - inferred case=ToothFairy3F_008 tooth=11
[2026-06-01 02:17:39,007] INFO - inferred case=ToothFairy3F_008 tooth=12
[2026-06-01 02:17:39,289] INFO - inferred case=ToothFairy3F_008 tooth=13
[2026-06-01 02:17:39,556] INFO - inferred case=ToothFairy3F_008 tooth=14
[2026-06-01 02:17:39,807] INFO - inferred case=ToothFairy3F_008 tooth=15
[2026-06-01 02:17:40,119] INFO - inferred case=ToothFairy3F_008 tooth=16
[2026-06-01 02:17:40,414] INFO - inferred case=ToothFairy3F_008 tooth=17
[2026-06-01 02:17:40,664] INFO - inferred case=ToothFairy3F_008 tooth=18
[2026-06-01 02:17:40,879] INFO - inferred case=ToothFairy3F_008 tooth=21
[2026-06-01 02:17:41,143] INFO - inferred case=ToothFairy3F_008 tooth=22
[2026-06-01 02:17:41,383] INFO - inferred case=ToothFairy3F_008 tooth=23
[2026-06-01 02:17:41,605] INFO - inferred case=ToothFairy3F_008 tooth=24
[2026-06-01 02:17:41,826] INFO - inferred case=ToothFairy3F_008 tooth=25
[2026-06-01 02:17:42,115] INFO - inferred case=ToothFairy3F_008 tooth=26
[2026-06-01 02:17:42,396] INFO - inferred case=ToothFairy3F_008 tooth=27
[2026-06-01 02:17:42,612] INFO - inferred case=ToothFairy3F_008 tooth=28
[2026-06-01 02:17:42,834] INFO - inferred case=ToothFairy3F_008 tooth=31
[2026-06-01 02:17:43,110] INFO - inferred case=ToothFairy3F_008 tooth=32
[2026-06-01 02:17:43,393] INFO - inferred case=ToothFairy3F_008 tooth=33
[2026-06-01 02:17:43,668] INFO - inferred case=ToothFairy3F_008 tooth=34
[2026-06-01 02:17:43,929] INFO - inferred case=ToothFairy3F_008 tooth=35
[2026-06-01 02:17:44,307] INFO - inferred case=ToothFairy3F_008 tooth=36
[2026-06-01 02:17:44,639] INFO - inferred case=ToothFairy3F_008 tooth=37
[2026-06-01 02:17:44,983] INFO - inferred case=ToothFairy3F_008 tooth=38
[2026-06-01 02:17:45,246] INFO - inferred case=ToothFairy3F_008 tooth=41
[2026-06-01 02:17:45,491] INFO - inferred case=ToothFairy3F_008 tooth=42
[2026-06-01 02:17:45,755] INFO - inferred case=ToothFairy3F_008 tooth=43
[2026-06-01 02:17:46,024] INFO - inferred case=ToothFairy3F_008 tooth=44
[2026-06-01 02:17:46,313] INFO - inferred case=ToothFairy3F_008 tooth=45
[2026-06-01 02:17:46,783] INFO - inferred case=ToothFairy3F_008 tooth=46
[2026-06-01 02:17:47,062] INFO - inferred case=ToothFairy3F_008 tooth=47
[2026-06-01 02:17:47,425] INFO - inferred case=ToothFairy3F_008 tooth=48
[2026-06-01 02:17:47,635] INFO - inferred case=ToothFairy3F_009 tooth=11
[2026-06-01 02:17:47,871] INFO - inferred case=ToothFairy3F_009 tooth=12
[2026-06-01 02:17:48,127] INFO - inferred case=ToothFairy3F_009 tooth=13
[2026-06-01 02:17:48,381] INFO - inferred case=ToothFairy3F_009 tooth=14
[2026-06-01 02:17:48,627] INFO - inferred case=ToothFairy3F_009 tooth=15
[2026-06-01 02:17:48,927] INFO - inferred case=ToothFairy3F_009 tooth=16
[2026-06-01 02:17:49,204] INFO - inferred case=ToothFairy3F_009 tooth=17
[2026-06-01 02:17:49,453] INFO - inferred case=ToothFairy3F_009 tooth=18
[2026-06-01 02:17:49,749] INFO - inferred case=ToothFairy3F_009 tooth=21
[2026-06-01 02:17:50,030] INFO - inferred case=ToothFairy3F_009 tooth=22
[2026-06-01 02:17:50,289] INFO - inferred case=ToothFairy3F_009 tooth=23
