manual_dir,case_id,points_file,status,excel_total_rows,excel_valid_rows,excel_invalid_rows,processed_kept_points,delta_excel_valid_minus_processed,filter_input_points,filter_removed_points,filter_invalid_points,filter_expected_kept,filter_report_count,check_rows_eq_processed,check_rows_eq_filter_input,check_filter_kept_eq_processed,missing_teeth,partial_teeth,excel_points_by_tooth,processed_points_by_tooth,reason
008,ToothFairy3F_008,/root/uploads/华西口腔_CEJ_ABC/manual_merged/008/cej_points_ras.xlsx,PASS_FULLY_USED,720,720,0,720,0,720,0,0,720,28,True,True,True,,,"{""11"": 31, ""12"": 32, ""13"": 24, ""14"": 24, ""15"": 31, ""16"": 33, ""17"": 30, ""21"": 35, ""22"": 29, ""23"": 29, ""24"": 22, ""25"": 20, ""26"": 26, ""27"": 25, ""31"": 28, ""32"": 23, ""33"": 25, ""34"": 22, ""35"": 21, ""36"": 26, ""37"": 22, ""41"": 25, ""42"": 26, ""43"": 22, ""44"": 20, ""45"": 20, ""46"": 24, ""47"": 25}","{""11"": 31, ""12"": 32, ""13"": 24, ""14"": 24, ""15"": 31, ""16"": 33, ""17"": 30, ""18"": 0, ""21"": 35, ""22"": 29, ""23"": 29, ""24"": 22, ""25"": 20, ""26"": 26, ""27"": 25, ""28"": 0, ""31"": 28, ""32"": 23, ""33"": 25, ""34"": 22, ""35"": 21, ""36"": 26, ""37"": 22, ""38"": 0, ""41"": 25, ""42"": 26, ""43"": 22, ""44"": 20, ""45"": 20, ""46"": 24, ""47"": 25, ""48"": 0}",
009,ToothFairy3F_009,/root/uploads/华西口腔_CEJ_ABC/manual_merged/009/points.xlsx,PASS_FULLY_USED,470,470,0,470,0,470,0,0,470,28,True,True,True,,,"{""11"": 17, ""12"": 15, ""13"": 15, ""14"": 18, ""15"": 19, ""16"": 18, ""17"": 20, ""21"": 18, ""22"": 14, ""23"": 14, ""24"": 18, ""25"": 20, ""26"": 18, ""27"": 22, ""31"": 16, ""32"": 14, ""33"": 15, ""34"": 16, ""35"": 18, ""36"": 14, ""37"": 16, ""41"": 12, ""42"": 16, ""43"": 15, ""44"": 18, ""45"": 16, ""46"": 18, ""47"": 20}","{""11"": 17, ""12"": 15, ""13"": 15, ""14"": 18, ""15"": 19, ""16"": 18, ""17"": 20, ""18"": 0, ""21"": 18, ""22"": 14, ""23"": 14, ""24"": 18, ""25"": 20, ""26"": 18, ""27"": 22, ""28"": 0, ""31"": 16, ""32"": 14, ""33"": 15, ""34"": 16, ""35"": 18, ""36"": 14, ""37"": 16, ""38"": 0, ""41"": 12, ""42"": 16, ""43"": 15, ""44"": 18, ""45"": 16, ""46"": 18, ""47"": 20, ""48"": 0}",
010,ToothFairy3F_010,/root/uploads/华西口腔_CEJ_ABC/manual_merged/010/points.xlsx,PASS_FULLY_USED,546,546,0,546,0,546,0,0,546,28,True,True,True,,,"{""11"": 16, ""12"": 16, ""13"": 16, ""14"": 24, ""15"": 19, ""16"": 23, ""17"": 16, ""21"": 20, ""22"": 15, ""23"": 16, ""24"": 18, ""25"": 19, ""26"": 16, ""27"": 20, ""31"": 16, ""32"": 16, ""33"": 24, ""34"": 24, ""35"": 24, ""36"": 24, ""37"": 28, ""41"": 16, ""42"": 20, ""43"": 16, ""44"": 20, ""45"": 20, ""46"": 20, ""47"": 24}","{""11"": 16, ""12"": 16, ""13"": 16, ""14"": 24, ""15"": 19, ""16"": 23, ""17"": 16, ""18"": 0, ""21"": 20, ""22"": 15, ""23"": 16, ""24"": 18, ""25"": 19, ""26"": 16, ""27"": 20, ""28"": 0, ""31"": 16, ""32"": 16, ""33"": 24, ""34"": 24, ""35"": 24, ""36"": 24, ""37"": 28, ""38"": 0, ""41"": 16, ""42"": 20, ""43"": 16, ""44"": 20, ""45"": 20, ""46"": 20, ""47"": 24, ""48"": 0}",
018,ToothFairy3F_018,/root/uploads/华西口腔_CEJ_ABC/manual_merged/018/points.xlsx,PASS_FULLY_USED,481,481,0,481,0,481,0,0,481,28,True,True,True,,,"{""11"": 17, ""12"": 16, ""13"": 18, ""14"": 20, ""15"": 19, ""16"": 20, ""17"": 20, ""21"": 16, ""22"": 19, ""23"": 12, ""24"": 14, ""25"": 20, ""26"": 16, ""27"": 16, ""31"": 14, ""32"": 15, ""33"": 19, ""34"": 19, ""35"": 16, ""36"": 20, ""37"": 16, ""41"": 19, ""42"": 13, ""43"": 16, ""44"": 14, ""45"": 18, ""46"": 20, ""47"": 19}","{""11"": 17, ""12"": 16, ""13"": 18, ""14"": 20, ""15"": 19, ""16"": 20, ""17"": 20, ""21"": 16, ""22"": 19, ""23"": 12, ""24"": 14, ""25"": 20, ""26"": 16, ""27"": 16, ""31"": 14, ""32"": 15, ""33"": 19, ""34"": 19, ""35"": 16, ""36"": 20, ""37"": 16, ""38"": 0, ""41"": 19, ""42"": 13, ""43"": 16, ""44"": 14, ""45"": 18, ""46"": 20, ""47"": 19}",
021,ToothFairy3F_021,/root/uploads/华西口腔_CEJ_ABC/manual_merged/021/points.xlsx,PASS_FULLY_USED,474,474,0,474,0,474,0,0,474,28,True,True,True,,,"{""11"": 19, ""12"": 16, ""13"": 16, ""14"": 16, ""15"": 16, ""16"": 20, ""17"": 20, ""21"": 16, ""22"": 17, ""23"": 12, ""24"": 16, ""25"": 16, ""26"": 16, ""27"": 16, ""31"": 16, ""32"": 14, ""33"": 16, ""34"": 16, ""35"": 16, ""36"": 20, ""37"": 16, ""41"": 18, ""42"": 16, ""43"": 18, ""44"": 20, ""45"": 16, ""46"": 20, ""47"": 20}","{""11"": 19, ""12"": 16, ""13"": 16, ""14"": 16, ""15"": 16, ""16"": 20, ""17"": 20, ""21"": 16, ""22"": 17, ""23"": 12, ""24"": 16, ""25"": 16, ""26"": 16, ""27"": 16, ""31"": 16, ""32"": 14, ""33"": 16, ""34"": 16, ""35"": 16, ""36"": 20, ""37"": 16, ""38"": 0, ""41"": 18, ""42"": 16, ""43"": 18, ""44"": 20, ""45"": 16, ""46"": 20, ""47"": 20, ""48"": 0}",
023,ToothFairy3F_023,/root/uploads/华西口腔_CEJ_ABC/manual_merged/023/points.xlsx,PASS_FULLY_USED,555,555,0,555,0,555,0,0,555,28,True,True,True,,,"{""11"": 20, ""12"": 25, ""13"": 16, ""14"": 20, ""15"": 20, ""16"": 20, ""17"": 20, ""21"": 20, ""22"": 20, ""23"": 26, ""24"": 20, ""25"": 20, ""26"": 23, ""27"": 20, ""31"": 23, ""32"": 19, ""33"": 24, ""34"": 20, ""35"": 16, ""36"": 20, ""37"": 20, ""41"": 16, ""42"": 17, ""43"": 16, ""44"": 16, ""45"": 18, ""46"": 20, ""47"": 20}","{""11"": 20, ""12"": 25, ""13"": 16, ""14"": 20, ""15"": 20, ""16"": 20, ""17"": 20, ""18"": 0, ""21"": 20, ""22"": 20, ""23"": 26, ""24"": 20, ""25"": 20, ""26"": 23, ""27"": 20, ""28"": 0, ""31"": 23, ""32"": 19, ""33"": 24, ""34"": 20, ""35"": 16, ""36"": 20, ""37"": 20, ""38"": 0, ""41"": 16, ""42"": 17, ""43"": 16, ""44"": 16, ""45"": 18, ""46"": 20, ""47"": 20, ""48"": 0}",
025,ToothFairy3F_025,/root/uploads/华西口腔_CEJ_ABC/manual_merged/025/points.xlsx,FAIL_NO_POINTS_AFTER_PREPROCESS,537,537,0,0,537,0,0,0,0,0,False,False,False,11|12|13|14|15|16|17|21|22|23|24|25|26|27|31|32|33|34|35|36|37|41|42|43|44|45|46,,"{""11"": 16, ""12"": 16, ""13"": 16, ""14"": 20, ""15"": 20, ""16"": 28, ""17"": 20, ""21"": 18, ""22"": 20, ""23"": 21, ""24"": 24, ""25"": 20, ""26"": 24, ""27"": 20, ""31"": 20, ""32"": 23, ""33"": 24, ""34"": 22, ""35"": 20, ""36"": 24, ""37"": 20, ""41"": 20, ""42"": 17, ""43"": 16, ""44"": 16, ""45"": 16, ""46"": 16}","{""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 0, ""26"": 0, ""27"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""48"": 0}",processed case has zero usable points; rerun preprocess for this case
026,ToothFairy3F_026,/root/uploads/华西口腔_CEJ_ABC/manual_merged/026/points.xlsx,FAIL_NO_POINTS_AFTER_PREPROCESS,546,546,0,0,546,0,0,0,0,0,False,False,False,11|12|13|14|15|16|17|21|22|23|24|25|26|27|31|32|33|34|35|36|37|41|42|43|44|45|46|47,,"{""11"": 24, ""12"": 20, ""13"": 16, ""14"": 20, ""15"": 24, ""16"": 20, ""17"": 20, ""21"": 20, ""22"": 20, ""23"": 20, ""24"": 4, ""25"": 20, ""26"": 20, ""27"": 24, ""31"": 23, ""32"": 19, ""33"": 20, ""34"": 16, ""35"": 20, ""36"": 24, ""37"": 16, ""41"": 16, ""42"": 20, ""43"": 20, ""44"": 20, ""45"": 20, ""46"": 20, ""47"": 20}","{""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 0, ""26"": 0, ""27"": 0, ""28"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""47"": 0, ""48"": 0}",processed case has zero usable points; rerun preprocess for this case
027,ToothFairy3F_027,/root/uploads/华西口腔_CEJ_ABC/manual_merged/027/points.xlsx,FAIL_NO_POINTS_AFTER_PREPROCESS,506,506,0,0,506,0,0,0,0,0,False,False,False,11|12|13|14|15|16|17|21|22|23|24|25|26|27|31|32|33|34|35|36|37|41|42|43|44|45|46,,"{""11"": 20, ""12"": 16, ""13"": 23, ""14"": 20, ""15"": 20, ""16"": 20, ""17"": 20, ""21"": 16, ""22"": 18, ""23"": 20, ""24"": 20, ""25"": 19, ""26"": 23, ""27"": 20, ""31"": 12, ""32"": 24, ""33"": 16, ""34"": 20, ""35"": 18, ""36"": 20, ""37"": 20, ""41"": 16, ""42"": 18, ""43"": 16, ""44"": 15, ""45"": 16, ""46"": 20}","{""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 0, ""26"": 0, ""27"": 0, ""28"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""47"": 0, ""48"": 0}",processed case has zero usable points; rerun preprocess for this case
033,ToothFairy3F_033,/root/uploads/华西口腔_CEJ_ABC/manual_merged/033/points.xlsx,FAIL_NO_POINTS_AFTER_PREPROCESS,479,479,0,0,479,0,0,0,0,0,False,False,False,11|12|13|15|16|17|21|22|23|24|25|26|27|31|32|33|34|35|36|37|41|42|43|44|45|46|47,,"{""11"": 20, ""12"": 16, ""13"": 20, ""15"": 16, ""16"": 20, ""17"": 16, ""21"": 16, ""22"": 20, ""23"": 16, ""24"": 19, ""25"": 20, ""26"": 20, ""27"": 16, ""31"": 16, ""32"": 16, ""33"": 22, ""34"": 16, ""35"": 18, ""36"": 20, ""37"": 20, ""41"": 12, ""42"": 18, ""43"": 16, ""44"": 18, ""45"": 16, ""46"": 20, ""47"": 16}","{""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 0, ""26"": 0, ""27"": 0, ""28"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""47"": 0}",processed case has zero usable points; rerun preprocess for this case
